result,table,_start,_stop,_time,_measurement,sensor,session_id,anomaly_score,if_score,is_anomaly,lstm_error,kill_chain_stage,mitre_tactic,mitre_technique_id,mitre_technique_name,protocol,purdue_level
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:04:56.762320+00:00,security_metrics,ml_engine,e07fec3b,0.37116655730811243,0.37116655730811243,0,0.02327911928296089,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:05:11.883095+00:00,security_metrics,ml_engine,e07fec3b,0.38559462795754856,0.38559462795754856,0,0.02298755943775177,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:05:27.023319+00:00,security_metrics,ml_engine,e07fec3b,0.37384793150397067,0.37384793150397067,0,0.023051314055919647,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:05:42.185071+00:00,security_metrics,ml_engine,e07fec3b,0.36871387417232654,0.36871387417232654,0,0.023036964237689972,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:05:57.352358+00:00,security_metrics,ml_engine,e07fec3b,0.30367942384828017,0.30367942384828017,0,0.023063061758875847,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:06:12.519429+00:00,security_metrics,ml_engine,e07fec3b,0.3845722363636059,0.3845722363636059,0,0.02304270677268505,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:06:27.692800+00:00,security_metrics,ml_engine,e07fec3b,0.39228370879000146,0.39228370879000146,0,0.02335456572473049,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:06:42.867596+00:00,security_metrics,ml_engine,e07fec3b,0.32233008002682423,0.32233008002682423,0,0.023338863626122475,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:06:58.047004+00:00,security_metrics,ml_engine,e07fec3b,0.2852012125900347,0.2852012125900347,0,0.023386718705296516,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:07:13.225327+00:00,security_metrics,ml_engine,e07fec3b,0.32468186264935167,0.32468186264935167,0,0.023159075528383255,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:07:28.411969+00:00,security_metrics,ml_engine,e07fec3b,0.38398861745954127,0.38398861745954127,0,0.022974664345383644,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:07:43.600047+00:00,security_metrics,ml_engine,e07fec3b,0.34674593354639044,0.34674593354639044,0,0.022779235616326332,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:07:58.789320+00:00,security_metrics,ml_engine,e07fec3b,0.3602901108734457,0.3602901108734457,0,0.02286645397543907,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:08:13.983872+00:00,security_metrics,ml_engine,e07fec3b,0.30614095533342894,0.30614095533342894,0,0.023187793791294098,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:08:29.180284+00:00,security_metrics,ml_engine,e07fec3b,0.3502706283988595,0.3502706283988595,0,0.02286073938012123,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:08:44.383047+00:00,security_metrics,ml_engine,e07fec3b,0.30879387899006333,0.30879387899006333,0,0.02343338541686535,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:08:59.592276+00:00,security_metrics,ml_engine,e07fec3b,0.3576520511252946,0.3576520511252946,0,0.0229964442551136,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:09:14.798435+00:00,security_metrics,ml_engine,e07fec3b,0.38964556121301286,0.38964556121301286,0,0.022554276511073112,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:09:30.007768+00:00,security_metrics,ml_engine,e07fec3b,0.2682389648449551,0.2682389648449551,0,0.02297140099108219,,,,,,
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 17:09:45.231790+00:00,security_metrics,ml_engine,e07fec3b,0.35292533513965296,0.35292533513965296,0,0.023588592186570168,,,,,,
