result,table,_start,_stop,_time,_measurement,fc_type,session_id,src_ip,func_code,register,value
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:32:54.723651+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:32:55.727342+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:33:07.732367+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:33:07.735539+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:47:10.973079+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:47:11.978062+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:47:17.982985+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 21:47:17.986039+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 22:43:16.059700+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 22:43:17.065001+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 22:43:25.070168+00:00,modbus_events,read,4f1c7684,attacker,3,200,0.0
_result,0,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 22:43:25.072938+00:00,modbus_events,read,4f1c7684,attacker,3,201,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:04:16.942665+00:00,modbus_events,read,693acebb,attacker,3,200,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:05:01.174509+00:00,modbus_events,read,693acebb,attacker,3,200,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:10.579260+00:00,modbus_events,read,693acebb,attacker,3,200,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:06:12.588085+00:00,modbus_events,read,693acebb,attacker,3,202,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:44:03.299209+00:00,modbus_events,read,693acebb,attacker,3,200,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:44:04.304689+00:00,modbus_events,read,693acebb,attacker,3,201,0.0
_result,1,2026-07-23 17:02:48+00:00,2026-07-23 22:48:25.083254+00:00,2026-07-23 20:44:09.309769+00:00,modbus_events,read,693acebb,attacker,3,200,0.0
