timestamp,phase,phase_name,status,detail
2026-07-31T22:42:43.166620Z,1,phase1_recon,started,Validation chain
2026-07-31T22:42:51.908621Z,1,phase1_recon,completed,
2026-07-31T22:43:01.908755Z,2,phase2_info_gathering,started,Validation chain
2026-07-31T22:43:22.334942Z,2,phase2_info_gathering,completed,
2026-07-31T22:43:32.335080Z,3,phase3_vuln_scan,started,Validation chain
2026-07-31T22:44:06.563141Z,3,phase3_vuln_scan,completed,
2026-07-31T22:44:16.563258Z,4,phase4_exploit,started,Validation chain
2026-07-31T22:44:16.751665Z,4,phase4_exploit,completed,
2026-07-31T22:44:26.751776Z,5,phase5_payload,started,Validation chain
2026-07-31T22:44:52.196632Z,5,phase5_payload,completed,
2026-07-31T22:45:02.196757Z,6,phase6_lateral_movement,started,Validation chain
2026-07-31T22:45:04.793592Z,6,phase6_lateral_movement,completed,
2026-07-31T22:45:14.793717Z,7,phase7_privesc,started,Validation chain
2026-07-31T22:45:16.990500Z,7,phase7_privesc,completed,
2026-07-31T22:45:26.990635Z,8,phase8_replay,started,Validation chain
2026-07-31T22:45:28.706897Z,8,phase8_replay,completed,
2026-07-31T22:45:38.707122Z,9,phase9_insider,started,Validation — SCADA Insider Setpoint RPM=2800 Valve=0 hold=10s
2026-07-31T22:45:38.769523Z,9,phase9_insider,completed,
2026-07-31T22:45:48.769785Z,8,phase8_replay,started,Validation extra 1/2 — Replay 128.0 PSI × 100 frames @ 0.2s
2026-07-31T22:46:09.182776Z,8,phase8_replay,completed,
2026-07-31T22:46:39.183221Z,8,phase8_replay,started,Validation extra 2/2 — Replay 130.0 PSI × 300 frames @ 0.15s
2026-07-31T22:47:25.238840Z,8,phase8_replay,completed,
2026-07-31T22:55:55.239162Z,5,phase5_payload,started,"Validation Standalone — +3 PSI every 5 s, 10 steps"
2026-07-31T22:56:45.388815Z,5,phase5_payload,completed,
2026-07-31T23:12:03.389375Z,7,phase7_privesc,started,Test Solo — Actuator RPM=3000 Valve=100 hold=15s
2026-07-31T23:12:19.502662Z,7,phase7_privesc,completed,
2026-07-31T23:19:17.502933Z,5,phase5_payload,started,Test Solo — Drift +4 PSI every 5s × 14
2026-07-31T23:20:27.662278Z,5,phase5_payload,completed,
2026-07-31T23:28:10.662595Z,9,phase9_insider,started,Test Solo — SCADA Insider Setpoint RPM=2900 Valve=50 hold=12s
2026-07-31T23:28:10.731636Z,9,phase9_insider,completed,
2026-07-31T23:35:57.731899Z,5,phase5_payload,started,Test Solo — Drift +4 PSI every 6s × 16
2026-07-31T23:37:33.932721Z,5,phase5_payload,completed,
2026-07-31T23:44:07.933016Z,9,phase9_insider,started,Test Solo — SCADA Insider Setpoint RPM=2800 Valve=0 hold=14s
2026-07-31T23:44:07.985789Z,9,phase9_insider,completed,
2026-07-31T23:50:47.986274Z,9,phase9_insider,started,Test Solo — SCADA Insider Setpoint RPM=2800 Valve=50 hold=15s
2026-07-31T23:50:48.041555Z,9,phase9_insider,completed,
2026-07-31T23:58:46.041930Z,4,phase4_exploit,started,Test Solo — Injection 300 PSI
2026-07-31T23:58:46.143064Z,4,phase4_exploit,completed,
2026-08-01T00:07:06.143370Z,8,phase8_replay,started,Test Solo — Replay 118.0 PSI × 250 frames @ 0.1s
2026-08-01T00:07:31.881383Z,8,phase8_replay,completed,
2026-08-01T00:15:22.881955Z,7,phase7_privesc,started,Test Solo — Actuator RPM=2800 Valve=200 hold=15s
2026-08-01T00:15:38.992625Z,7,phase7_privesc,completed,
