result,table,_start,_stop,_time,_measurement,location,session_id,flow_rate,pressure,pump_rpm,pump_state,setpoint,temperature
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:43.197464+00:00,process_state,pump_station_01,66976798,12.0,130.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:43.710522+00:00,process_state,pump_station_01,66976798,11.9,130.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:44.225815+00:00,process_state,pump_station_01,66976798,12.0,130.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:44.739329+00:00,process_state,pump_station_01,66976798,11.9,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:45.253300+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:45.767329+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:46.280736+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:46.793667+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:47.308402+00:00,process_state,pump_station_01,66976798,11.9,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:47.821700+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:48.335633+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:48.849378+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 21:37:49.363629+00:00,process_state,pump_station_01,66976798,12.0,131.0,1200.0,running,200.0,22.0
