result,table,_start,_stop,_time,_measurement,event_type,kill_chain_stage,layer,mitre_tactic,mitre_technique_id,mitre_technique_name,protocol,purdue_level,service,severity,narrative,source_ip,target_ip,target_service,value,correlation_id,session_id,alert_type,detail,score,delta,live_pressure
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:22.292496+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0811,Data from Information Repositories,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0811 - Data from Information Repositories,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,1,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:26.898032+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0814,Denial of Service,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0814 - Denial of Service,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,2,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:02.056762+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0846,Network Service Discovery,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0846 - Network Service Discovery,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:06.526561+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:16.710435+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:36.916433+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,3,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:45:14.942585+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0855,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0855 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,4,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:45:04.765870+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0885,Remote Services,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0885 - Remote Services,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,5,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:32.476636+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0887,Unauthorized Command Message,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0887 - Unauthorized Command Message,172.28.0.50,unknown,unknown,1.0,,,,,,,
_result,6,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:45:04.196579+00:00,security_alerts,MITRE_STEP,Stage 1 - IT Intrusion,Level 2,Attack,T0891,Credentials in Files,N/A,Level 2,attacker_node,INFO,MITRE ATT&CK: T0891 - Credentials in Files,172.28.0.50,unknown,unknown,1.0,,,,,,,
