result,table,_start,_stop,_time,_measurement,fc_type,session_id,src_ip,func_code,register,value
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:43:22.304792+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:44:06.530465+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:45:14.946284+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 22:45:16.957393+00:00,modbus_events,read,b8e88bbd,attacker,3,202,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:03.479222+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:04.484462+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:19.489832+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-07-31 23:12:19.492931+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:22.970938+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:23.974827+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:38.980008+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:15:38.982880+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:11.974599+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:12.980061+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:18.985956+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 00:30:18.988907+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:09.916205+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:10.921650+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:20.927045+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:00:20.929808+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:07:49.018577+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:07:50.024002+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:08:00.027723+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:08:00.030607+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:15:27.127064+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:15:28.132748+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:15:46.138136+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 01:15:46.140829+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:02:31.251546+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:02:32.256934+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:02:47.262520+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:02:47.265745+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:18:15.394883+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:18:16.400320+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:18:26.406004+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:18:26.408878+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:27:06.510582+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:27:07.515823+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:27:15.521705+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 02:27:15.524496+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 03:36:07.218799+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 03:36:08.224146+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 03:36:26.229764+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 03:36:26.232573+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:16:50.705568+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:16:51.709382+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:17:09.713232+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:17:09.716013+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:23:33.833843+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:23:34.839113+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:23:52.844339+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:23:52.847020+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:50:01.163918+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:50:02.168831+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:50:07.173031+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:50:07.175861+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:57:44.279347+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:57:45.284896+00:00,modbus_events,read,b8e88bbd,attacker,3,201,0.0
_result,0,2026-07-31 21:37:43.154390+00:00,2026-08-01 05:23:08.946824+00:00,2026-08-01 04:57:53.290478+00:00,modbus_events,read,b8e88bbd,attacker,3,200,0.0
