result,table,_start,_stop,_time,_measurement,location,source,pressure,session_id,flow_rate,pump_rpm,temperature
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:35:45.584992+00:00,pipeline_metrics,pump_station_01,attacker,350.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:06.140209+00:00,pipeline_metrics,pump_station_01,attacker,125.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:07.157297+00:00,pipeline_metrics,pump_station_01,attacker,130.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:08.174416+00:00,pipeline_metrics,pump_station_01,attacker,135.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:09.190998+00:00,pipeline_metrics,pump_station_01,attacker,140.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:10.208489+00:00,pipeline_metrics,pump_station_01,attacker,145.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:11.225192+00:00,pipeline_metrics,pump_station_01,attacker,150.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:12.240303+00:00,pipeline_metrics,pump_station_01,attacker,155.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:13.255776+00:00,pipeline_metrics,pump_station_01,attacker,160.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:14.273251+00:00,pipeline_metrics,pump_station_01,attacker,165.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:15.289493+00:00,pipeline_metrics,pump_station_01,attacker,170.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:16.306062+00:00,pipeline_metrics,pump_station_01,attacker,175.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:17.323548+00:00,pipeline_metrics,pump_station_01,attacker,180.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:18.340866+00:00,pipeline_metrics,pump_station_01,attacker,185.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:19.357300+00:00,pipeline_metrics,pump_station_01,attacker,190.0,,,,
_result,0,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:20.374192+00:00,pipeline_metrics,pump_station_01,attacker,195.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.394024+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.496415+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.598038+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.699617+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.801179+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:57.903499+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:58.005728+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:58.107723+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:58.209096+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:58.310917+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
_result,1,2026-07-24 20:29:11.255273+00:00,2026-07-25 02:56:34.423623+00:00,2026-07-24 21:36:58.412429+00:00,pipeline_metrics,pump_station_01,historian_bridge,120.0,,,,
